"city","restaurant_name","late_deliveries"
"Chennai","Tandoori Nights 127","1"
"Chennai","Golden Spoon 149","1"
"Mumbai","Punjabi Dhaba 233","1"
"Bangalore","Masala Magic 281","1"
"Mumbai","Mumbai Masala 226","1"
"Bangalore","The Hungry Panda 85","1"
"Bangalore","Curry Kingdom 116","1"
"Chennai","Taste of Punjab 217","1"
"Kolkata","Kolkata Kitchen 204","1"
"Mumbai","Curry Kingdom 206","1"
"Delhi","Dragon Wok 84","1"
"Mumbai","Chutney Express 172","1"
"Bangalore","Rasoi Ghar 150","1"
"Delhi","Dragon Wok 158","1"
"Bangalore","Golden Spoon 208","1"
"Chennai","Golden Spoon 255","1"
"Mumbai","Urban Tadka 152","1"
"Chennai","Curry Kingdom 278","1"
"Bangalore","The Curry Leaf 151","1"
"Delhi","Golden Spoon 44","1"
"Kolkata","Chai & Chat 258","1"
"Mumbai","Punjabi Dhaba 136","1"
"Mumbai","The Curry Leaf 142","1"
"Delhi","Masala Magic 117","1"
"Kolkata","Burger Factory 265","1"
"Mumbai","Pizza Junction 207","1"
"Kolkata","Burger Factory 236","1"
"Kolkata","Annapurna Bhavan 300","1"
"Delhi","Pizza Junction 33","1"
"Mumbai","Biryani House 260","1"
"Mumbai","Biryani House 241","1"
"Chennai","Biryani House 64","1"
"Bangalore","Dragon Wok 215","1"
"Chennai","Golden Spoon 140","1"
"Chennai","Chai & Chat 214","1"
"Delhi","Golden Spoon 41","1"
"Delhi","Chai & Chat 282","1"
"Kolkata","Annapurna Bhavan 115","1"
"Chennai","Taste of Punjab 231","1"
"Bangalore","Caf̩ Masaledar 232","1"
"Delhi","Chai & Chat 53","1"
"Mumbai","Golden Spoon 270","1"
"Mumbai","Pizza Junction 264","1"
"Chennai","Annapurna Bhavan 218","1"
"Bangalore","Biryani House 133","1"
"Chennai","Chai & Chat 200","1"
"Kolkata","Chutney Express 100","1"
"Mumbai","Delhi Darbar 39","1"
"Chennai","Masala Magic 69","1"
"Delhi","Delhi Darbar 181","1"
"Delhi","Chai & Chat 1","1"
"Chennai","Annapurna Bhavan 272","1"
"Kolkata","Caf̩ Masaledar 47","1"
"Chennai","Spice Villa 295","1"
"Delhi","The Food Studio 94","1"
"Mumbai","Caf̩ Masaledar 66","1"
"Mumbai","Dragon Wok 52","1"
"Mumbai","Kolkata Kitchen 122","1"
"Bangalore","South Spice 93","1"
"Bangalore","South Spice 243","1"
"Chennai","The Hungry Panda 132","1"
"Chennai","Taste of Punjab 167","1"
"Delhi","Chai & Chat 173","1"
"Bangalore","Kolkata Kitchen 240","1"
"Kolkata","Curry Kingdom 91","1"
"Kolkata","Saffron Delight 277","1"
"Delhi","The Curry Leaf 192","1"
"Bangalore","Golden Spoon 249","1"
"Kolkata","Bombay Bistro 189","1"
"Kolkata","Rasoi Ghar 191","1"
"Kolkata","Mughal Mahal 229","1"
"Chennai","Bombay Bistro 87","1"
"Mumbai","Punjabi Dhaba 276","1"
"Bangalore","Bombay Bistro 211","1"
"Bangalore","Rasoi Ghar 95","1"
"Kolkata","Pizza Junction 161","1"
"Bangalore","Kolkata Kitchen 73","1"
"Kolkata","Tandoori Nights 130","1"
"Kolkata","Spice Villa 253","1"
"Mumbai","Golden Spoon 67","1"
"Delhi","Chai & Chat 19","1"
"Mumbai","Pizza Junction 20","1"
"Kolkata","Dragon Wok 79","1"
"Chennai","Curry Kingdom 12","1"
"Bangalore","Burger Factory 197","1"
"Delhi","Mughal Mahal 50","1"
"Kolkata","South Spice 34","1"
"Mumbai","Mumbai Masala 244","1"
"Mumbai","Curry Kingdom 261","1"
"Kolkata","Biryani House 239","1"
"Bangalore","Royal Tandoor 289","1"
"Kolkata","Royal Tandoor 143","1"
"Chennai","Curry Kingdom 58","1"
"Mumbai","The Food Studio 99","1"
"Delhi","Pizza Junction 129","1"
"Delhi","Flavours of India 61","1"
"Chennai","Masala Magic 55","1"
