"restaurant_id","restaurant_name","total_revenue","revenue_rank"
109,"Madras Cafe 109","1065.08","204"
29,"The Curry Leaf 29","1037.13","205"
4,"Royal Tandoor 4","1017.12","206"
275,"Golden Spoon 275","1004.35","207"
35,"Flavours of India 35","998.75","208"
68,"Bombay Bistro 68","994.49","209"
30,"Mumbai Masala 30","990.89","210"
249,"Golden Spoon 249","983.37","211"
283,"Taste of Punjab 283","937.88","212"
108,"Taste of Punjab 108","933.95","213"
244,"Mumbai Masala 244","914.06","214"
183,"Urban Tadka 183","890.01","215"
5,"The Hungry Panda 5","887.08","216"
151,"The Curry Leaf 151","876.22","217"
153,"The Food Studio 153","872.21","218"
255,"Golden Spoon 255","850.80","219"
18,"Delhi Darbar 18","792.55","220"
270,"Golden Spoon 270","788.39","221"
17,"Chai & Chat 17","783.77","222"
175,"Saffron Delight 175","778.75","223"
210,"Curry Kingdom 210","734.53","224"
254,"Delhi Darbar 254","729.80","225"
59,"Mughal Mahal 59","725.65","226"
48,"Madras Cafe 48","687.56","227"
241,"Biryani House 241","657.54","228"
228,"Pizza Junction 228","648.50","229"
139,"Dragon Wok 139","641.91","230"
107,"Kolkata Kitchen 107","598.64","231"
257,"Madras Cafe 257","596.13","232"
282,"Chai & Chat 282","590.52","233"
225,"Royal Tandoor 225","589.57","234"
152,"Urban Tadka 152","575.60","235"
113,"Delhi Darbar 113","568.12","236"
31,"Bombay Bistro 31","535.29","237"
208,"Golden Spoon 208","501.18","238"
218,"Annapurna Bhavan 218","495.95","239"
10,"Curry Kingdom 10","474.81","240"
62,"Pizza Junction 62","438.24","241"
129,"Pizza Junction 129","415.68","242"
243,"South Spice 243","410.94","243"
247,"Tandoori Nights 247","404.42","244"
114,"Biryani House 114","403.01","245"
44,"Golden Spoon 44","369.65","246"
262,"Urban Tadka 262","353.45","247"
186,"Flavours of India 186","345.40","248"
140,"Golden Spoon 140","341.73","249"
273,"Madras Cafe 273","337.59","250"
231,"Taste of Punjab 231","323.52","251"
271,"Chutney Express 271","309.44","252"
116,"Curry Kingdom 116","299.43","253"
123,"South Spice 123","299.11","254"
76,"Biryani House 76","277.61","255"
11,"Punjabi Dhaba 11","270.47","256"
216,"Flavours of India 216","245.32","257"
106,"Punjabi Dhaba 106","233.75","258"
279,"Mughal Mahal 279","205.27","259"
189,"Bombay Bistro 189","172.20","260"
224,"Dragon Wok 224","137.26","261"
264,"Pizza Junction 264","101.76","262"
57,"Punjabi Dhaba 57","74.42","263"
8,"Bombay Bistro 8","50.61","264"
165,"Caf̩ Masaledar 165","31.38","265"
217,"Taste of Punjab 217","12.68","266"
